Campo,Formato,Ejemplo,Valor por defecto o respuesta,,,,,
25/03/2020,desc 628,ARS,400,Gasto,Verdadero,Recreación,,nota 628
27/12/2021,desc 629,ARS,985,Gasto,Falso,Deporte,,nota 629
10/09/2021,desc 630,USD,780,Gasto,,Vivienda,reparaciones,nota 630
07/11/2020,desc 631,ARS,590,Gasto,Verdadero,Belleza,peluquero; manicura,nota 631
04/10/2022,desc 632,ARS,569,Gasto,Falso,Educación,universidad; postgrado,nota 632
09/02/2022,desc 633,ARS,247,Ingreso,Falso,Vehículo,mecanico,nota 633
22/09/2022,desc 634,ARS,99,Gasto,Verdadero,Transporte,sube,nota 634
11/04/2021,desc 635,ARS,624,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 635
09/01/2020,desc 636,ARS,832,Gasto,Verdadero,Recreación,,nota 636
17/11/2022,desc 637,ARS,0,Gasto,,Deporte,,nota 637
10/05/2021,desc 638,USD,604,Gasto,Falso,Vivienda,reparaciones,nota 638
10/05/2022,desc 639,ARS,361,Gasto,Verdadero,Belleza,peluquero; manicura,nota 639
10/10/2022,desc 640,ARS,309,Ingreso,,Educación,universidad; postgrado,nota 640
08/12/2021,desc 641,ARS,763,Gasto,Falso,Vehículo,mecanico,nota 641
23/06/2022,desc 642,ARS,893,Gasto,Verdadero,Transporte,sube,nota 642
19/12/2022,desc 643,USD,460,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 643
20/05/2020,desc 644,ARS,231,Gasto,,Recreación,,nota 644
08/02/2021,desc 645,ARS,953,Gasto,Verdadero,Deporte,,nota 645
03/10/2020,desc 646,ARS,397,Gasto,Falso,Vivienda,reparaciones,nota 646
17/12/2021,desc 647,ARS,911,Ingreso,,Belleza,peluquero; manicura,nota 647
22/11/2021,desc 648,ARS,321,Gasto,Verdadero,Educación,universidad; postgrado,nota 648
27/01/2020,desc 649,ARS,382,Gasto,Falso,Vehículo,mecanico,nota 649
16/08/2020,desc 650,ARS,59,Gasto,Falso,Transporte,sube,nota 650
08/02/2021,desc 651,USD,773,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 651
06/04/2021,desc 652,ARS,202,Gasto,Falso,Recreación,,nota 652
01/08/2022,desc 653,ARS,253,Gasto,Verdadero,Deporte,,nota 653
16/04/2021,desc 654,ARS,658,Ingreso,,Vivienda,reparaciones,nota 654
25/04/2021,desc 655,ARS,131,Gasto,Verdadero,Belleza,peluquero; manicura,nota 655
02/05/2021,desc 656,USD,299,Gasto,Verdadero,Educación,universidad; postgrado,nota 656
14/08/2022,desc 657,ARS,765,Gasto,Verdadero,Vehículo,mecanico,nota 657
11/03/2021,desc 658,ARS,454,Gasto,Falso,Transporte,sube,nota 658
09/05/2020,desc 659,ARS,887,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 659
20/01/2021,desc 660,ARS,712,Gasto,Falso,Recreación,,nota 660
27/07/2021,desc 661,ARS,344,Ingreso,,Deporte,,nota 661
18/01/2022,desc 662,ARS,158,Gasto,Verdadero,Vivienda,reparaciones,nota 662
11/12/2021,desc 663,ARS,787,Gasto,Falso,Belleza,peluquero; manicura,nota 663
21/02/2022,desc 664,USD,373,Gasto,,Educación,universidad; postgrado,nota 664
22/09/2021,desc 665,ARS,393,Gasto,Verdadero,Vehículo,mecanico,nota 665
24/10/2022,desc 666,ARS,767,Gasto,Falso,Transporte,sube,nota 666
21/04/2020,desc 667,ARS,369,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 667
25/08/2021,desc 668,ARS,377,Ingreso,Verdadero,Recreación,,nota 668
08/02/2020,desc 669,USD,445,Gasto,Falso,Deporte,,nota 669
01/06/2021,desc 670,ARS,710,Gasto,Verdadero,Vivienda,reparaciones,nota 670
08/12/2020,desc 671,ARS,389,Gasto,,Belleza,peluquero; manicura,nota 671
20/02/2020,desc 672,ARS,766,Gasto,Falso,Educación,universidad; postgrado,nota 672
07/05/2022,desc 673,ARS,552,Gasto,Verdadero,Vehículo,mecanico,nota 673
24/02/2021,desc 674,ARS,862,Gasto,,Transporte,sube,nota 674
21/06/2021,desc 675,ARS,599,Ingreso,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 675
03/07/2021,desc 676,ARS,186,Gasto,Verdadero,Recreación,,nota 676
08/12/2022,desc 677,USD,754,Gasto,Falso,Deporte,,nota 677
10/09/2022,desc 678,ARS,415,Gasto,,Vivienda,reparaciones,nota 678
08/02/2022,desc 679,ARS,707,Gasto,Verdadero,Belleza,peluquero; manicura,nota 679
01/08/2021,desc 680,ARS,792,Gasto,Falso,Educación,universidad; postgrado,nota 680
16/09/2021,desc 681,ARS,521,Gasto,,Vehículo,mecanico,nota 681
22/11/2020,desc 682,USD,298,Ingreso,Verdadero,Transporte,sube,nota 682
28/10/2021,desc 683,ARS,738,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 683
03/11/2020,desc 684,ARS,495,Gasto,Falso,Recreación,,nota 684
22/06/2021,desc 685,ARS,136,Gasto,Verdadero,Deporte,,nota 685
06/05/2021,desc 686,ARS,827,Gasto,Falso,Vivienda,reparaciones,nota 686
14/10/2021,desc 687,ARS,989,Gasto,Verdadero,Belleza,peluquero; manicura,nota 687
17/12/2020,desc 688,ARS,124,Gasto,,Educación,universidad; postgrado,nota 688
17/06/2020,desc 689,ARS,68,Ingreso,Verdadero,Vehículo,mecanico,nota 689
02/12/2020,desc 690,USD,535,Gasto,Verdadero,Transporte,sube,nota 690
21/05/2022,desc 691,ARS,278,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 691
25/01/2020,desc 692,ARS,394,Gasto,Falso,Recreación,,nota 692
18/09/2020,desc 693,ARS,539,Gasto,Verdadero,Deporte,,nota 693
28/02/2020,desc 694,ARS,660,Gasto,Falso,Vivienda,reparaciones,nota 694
16/12/2021,desc 695,USD,193,Gasto,,Belleza,peluquero; manicura,nota 695
04/09/2020,desc 696,ARS,594,Ingreso,Verdadero,Educación,universidad; postgrado,nota 696
25/06/2021,desc 697,ARS,655,Gasto,Falso,Vehículo,mecanico,nota 697
13/05/2022,desc 698,ARS,634,Gasto,,Transporte,sube,nota 698
13/01/2022,desc 699,ARS,606,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 699
13/06/2021,desc 700,ARS,795,Gasto,Falso,Recreación,,nota 700
03/12/2022,desc 701,ARS,639,Gasto,Falso,Deporte,,nota 701
27/04/2020,desc 702,ARS,980,Gasto,Verdadero,Vivienda,reparaciones,nota 702
03/02/2020,desc 703,USD,815,Ingreso,Falso,Belleza,peluquero; manicura,nota 703
07/01/2022,desc 704,ARS,969,Gasto,Verdadero,Educación,universidad; postgrado,nota 704
07/11/2022,desc 705,ARS,972,Gasto,,Vehículo,mecanico,nota 705
18/02/2021,desc 706,ARS,472,Gasto,Falso,Transporte,sube,nota 706
04/01/2022,desc 707,ARS,286,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 707
21/09/2020,desc 708,USD,835,Gasto,,Recreación,,nota 708
18/09/2020,desc 709,ARS,478,Gasto,Falso,Deporte,,nota 709
01/05/2022,desc 710,ARS,20,Ingreso,Verdadero,Vivienda,reparaciones,nota 710
09/12/2020,desc 711,ARS,113,Gasto,Falso,Belleza,peluquero; manicura,nota 711
21/10/2021,desc 712,ARS,443,Gasto,,Educación,universidad; postgrado,nota 712
03/07/2020,desc 713,ARS,679,Gasto,Verdadero,Vehículo,mecanico,nota 713
15/06/2022,desc 714,ARS,763,Gasto,Falso,Transporte,sube,nota 714
16/03/2020,desc 715,ARS,1,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 715
06/09/2021,desc 716,USD,447,Gasto,Verdadero,Recreación,,nota 716
05/07/2020,desc 717,ARS,96,Ingreso,Falso,Deporte,,nota 717
23/09/2021,desc 718,ARS,37,Gasto,Falso,Vivienda,reparaciones,nota 718
15/04/2020,desc 719,ARS,801,Gasto,Verdadero,Belleza,peluquero; manicura,nota 719
17/09/2021,desc 720,ARS,812,Gasto,Falso,Educación,universidad; postgrado,nota 720
22/06/2021,desc 721,USD,482,Gasto,Verdadero,Vehículo,mecanico,nota 721
04/03/2022,desc 722,ARS,421,Gasto,,Transporte,sube,nota 722
18/05/2020,desc 723,ARS,330,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 723
18/09/2022,desc 724,ARS,191,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 724
18/07/2021,desc 725,ARS,399,Gasto,,Recreación,,nota 725
15/05/2020,desc 726,ARS,877,Gasto,Verdadero,Deporte,,nota 726
24/09/2020,desc 727,ARS,534,Ingreso,Verdadero,Vivienda,reparaciones,nota 727
23/09/2020,desc 728,USD,549,Gasto,Verdadero,Belleza,peluquero; manicura,nota 728
11/01/2021,desc 729,ARS,931,Gasto,Falso,Educación,universidad; postgrado,nota 729
13/09/2020,desc 730,ARS,43,Gasto,Verdadero,Vehículo,mecanico,nota 730
16/03/2020,desc 731,ARS,820,Gasto,Falso,Transporte,sube,nota 731
13/05/2020,desc 732,ARS,695,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 732
25/04/2021,desc 733,ARS,790,Gasto,Verdadero,Recreación,,nota 733
03/03/2021,desc 734,ARS,139,Ingreso,Falso,Deporte,,nota 734
26/12/2021,desc 735,ARS,737,Gasto,,Vivienda,reparaciones,nota 735
16/01/2021,desc 736,USD,260,Gasto,Verdadero,Belleza,peluquero; manicura,nota 736
27/02/2020,desc 737,ARS,559,Gasto,Falso,Educación,universidad; postgrado,nota 737
10/11/2022,desc 738,ARS,555,Gasto,Falso,Vehículo,mecanico,nota 738
14/08/2021,desc 739,ARS,41,Gasto,Verdadero,Transporte,sube,nota 739
22/12/2022,desc 740,ARS,311,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 740
07/11/2022,desc 741,USD,288,Ingreso,Verdadero,Recreación,,nota 741
01/01/2022,desc 742,ARS,124,Gasto,,Deporte,,nota 742
24/08/2022,desc 743,ARS,608,Gasto,Falso,Vivienda,reparaciones,nota 743
27/08/2020,desc 744,ARS,246,Gasto,Verdadero,Belleza,peluquero; manicura,nota 744
20/06/2020,desc 745,ARS,248,Gasto,,Educación,universidad; postgrado,nota 745
12/04/2020,desc 746,ARS,307,Gasto,Falso,Vehículo,mecanico,nota 746
24/09/2022,desc 747,ARS,547,Gasto,Verdadero,Transporte,sube,nota 747
19/07/2021,desc 748,ARS,816,Ingreso,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 748
11/01/2020,desc 749,USD,170,Gasto,,Recreación,,nota 749
18/09/2022,desc 750,ARS,955,Gasto,Verdadero,Deporte,,nota 750
24/03/2022,desc 751,ARS,358,Gasto,Falso,Vivienda,reparaciones,nota 751
16/11/2020,desc 752,ARS,127,Gasto,,Belleza,peluquero; manicura,nota 752
22/09/2022,desc 753,ARS,947,Gasto,Verdadero,Educación,universidad; postgrado,nota 753
12/03/2020,desc 754,USD,142,Gasto,Falso,Vehículo,mecanico,nota 754
10/05/2021,desc 755,ARS,968,Ingreso,Falso,Transporte,sube,nota 755
09/02/2022,desc 756,ARS,273,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 756
08/02/2020,desc 757,ARS,362,Gasto,Falso,Recreación,,nota 757
28/09/2021,desc 758,ARS,544,Gasto,Verdadero,Deporte,,nota 758
15/02/2021,desc 759,ARS,993,Gasto,,Vivienda,reparaciones,nota 759
13/03/2022,desc 760,ARS,773,Gasto,Verdadero,Belleza,peluquero; manicura,nota 760
04/07/2021,desc 761,ARS,119,Gasto,Verdadero,Educación,universidad; postgrado,nota 761
20/11/2021,desc 762,USD,235,Ingreso,Verdadero,Vehículo,mecanico,nota 762
13/06/2021,desc 763,ARS,637,Gasto,Falso,Transporte,sube,nota 763
16/11/2022,desc 764,ARS,395,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 764
20/11/2021,desc 765,ARS,102,Gasto,Falso,Recreación,,nota 765
16/06/2020,desc 766,ARS,313,Gasto,,Deporte,,nota 766
19/05/2021,desc 767,USD,224,Gasto,Verdadero,Vivienda,reparaciones,nota 767
11/12/2022,desc 768,ARS,997,Gasto,Falso,Belleza,peluquero; manicura,nota 768
18/04/2021,desc 769,ARS,557,Ingreso,,Educación,universidad; postgrado,nota 769
21/06/2021,desc 770,ARS,732,Gasto,Verdadero,Vehículo,mecanico,nota 770
06/06/2021,desc 771,ARS,476,Gasto,Falso,Transporte,sube,nota 771
07/03/2020,desc 772,ARS,1,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 772
25/10/2021,desc 773,ARS,621,Gasto,Verdadero,Recreación,,nota 773
27/08/2022,desc 774,ARS,819,Gasto,Falso,Deporte,,nota 774
18/07/2022,desc 775,USD,306,Gasto,Verdadero,Vivienda,reparaciones,nota 775
11/03/2020,desc 776,ARS,739,Ingreso,,Belleza,peluquero; manicura,nota 776
08/04/2020,desc 777,ARS,428,Gasto,Falso,Educación,universidad; postgrado,nota 777
22/07/2020,desc 778,ARS,472,Gasto,Verdadero,Vehículo,mecanico,nota 778
02/09/2021,desc 779,ARS,60,Gasto,,Transporte,sube,nota 779
28/07/2020,desc 780,USD,423,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 780
27/06/2020,desc 781,ARS,842,Gasto,Verdadero,Recreación,,nota 781
27/11/2020,desc 782,ARS,713,Gasto,Falso,Deporte,,nota 782
07/11/2020,desc 783,ARS,877,Ingreso,,Vivienda,reparaciones,nota 783
28/05/2022,desc 784,ARS,721,Gasto,Verdadero,Belleza,peluquero; manicura,nota 784
27/12/2020,desc 785,ARS,698,Gasto,Falso,Educación,universidad; postgrado,nota 785
22/07/2021,desc 786,ARS,338,Gasto,,Vehículo,mecanico,nota 786
10/06/2020,desc 787,ARS,58,Gasto,Verdadero,Transporte,sube,nota 787
09/10/2022,desc 788,USD,957,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 788
24/05/2021,desc 789,ARS,366,Gasto,Falso,Recreación,,nota 789
13/02/2020,desc 790,ARS,668,Ingreso,Verdadero,Deporte,,nota 790
18/09/2022,desc 791,ARS,118,Gasto,Falso,Vivienda,reparaciones,nota 791
16/05/2020,desc 792,ARS,779,Gasto,Verdadero,Belleza,peluquero; manicura,nota 792
20/08/2020,desc 793,USD,297,Gasto,,Educación,universidad; postgrado,nota 793
25/09/2020,desc 794,ARS,1,Gasto,Verdadero,Vehículo,mecanico,nota 794
25/02/2021,desc 795,ARS,502,Gasto,Verdadero,Transporte,sube,nota 795
12/07/2021,desc 796,ARS,703,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 796
04/01/2022,desc 797,ARS,229,Ingreso,Falso,Recreación,,nota 797
21/11/2022,desc 798,ARS,215,Gasto,Verdadero,Deporte,,nota 798
28/06/2022,desc 799,ARS,790,Gasto,Falso,Vivienda,reparaciones,nota 799
23/02/2021,desc 800,ARS,362,Gasto,,Belleza,peluquero; manicura,nota 800
05/03/2022,desc 801,USD,658,Gasto,Verdadero,Educación,universidad; postgrado,nota 801
17/10/2022,desc 802,ARS,124,Gasto,Falso,Vehículo,mecanico,nota 802
10/02/2022,desc 803,ARS,554,Gasto,,Transporte,sube,nota 803
26/09/2022,desc 804,ARS,397,Ingreso,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 804
14/11/2022,desc 805,ARS,200,Gasto,Falso,Recreación,,nota 805
18/04/2022,desc 806,USD,615,Gasto,Falso,Deporte,,nota 806
17/09/2020,desc 807,ARS,978,Gasto,Verdadero,Vivienda,reparaciones,nota 807
10/01/2020,desc 808,ARS,909,Gasto,Falso,Belleza,peluquero; manicura,nota 808
19/07/2022,desc 809,ARS,526,Gasto,Verdadero,Educación,universidad; postgrado,nota 809
11/09/2022,desc 810,ARS,272,Gasto,,Vehículo,mecanico,nota 810
18/08/2022,desc 811,ARS,733,Ingreso,Falso,Transporte,sube,nota 811
16/06/2022,desc 812,ARS,78,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 812
07/02/2020,desc 813,ARS,611,Gasto,,Recreación,,nota 813
05/09/2022,desc 814,USD,211,Gasto,Falso,Deporte,,nota 814
01/04/2020,desc 815,ARS,597,Gasto,Verdadero,Vivienda,reparaciones,nota 815
22/09/2022,desc 816,ARS,79,Gasto,Falso,Belleza,peluquero; manicura,nota 816
07/12/2021,desc 817,ARS,130,Gasto,,Educación,universidad; postgrado,nota 817
14/08/2021,desc 818,ARS,100,Ingreso,Verdadero,Vehículo,mecanico,nota 818
07/02/2020,desc 819,USD,784,Gasto,Falso,Transporte,sube,nota 819
07/01/2021,desc 820,ARS,690,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 820
06/11/2020,desc 821,ARS,989,Gasto,Verdadero,Recreación,,nota 821
22/07/2020,desc 822,ARS,886,Gasto,Falso,Deporte,,nota 822
05/04/2022,desc 823,ARS,978,Gasto,Falso,Vivienda,reparaciones,nota 823
15/09/2021,desc 824,ARS,64,Gasto,Verdadero,Belleza,peluquero; manicura,nota 824
22/12/2022,desc 825,ARS,136,Ingreso,Falso,Educación,universidad; postgrado,nota 825
13/07/2020,desc 826,ARS,580,Gasto,Verdadero,Vehículo,mecanico,nota 826
23/09/2020,desc 827,USD,626,Gasto,,Transporte,sube,nota 827
08/02/2022,desc 828,ARS,969,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 828
03/01/2020,desc 829,ARS,977,Gasto,Verdadero,Recreación,,nota 829
18/04/2020,desc 830,ARS,571,Gasto,Verdadero,Deporte,,nota 830
10/06/2022,desc 831,ARS,111,Gasto,Falso,Vivienda,reparaciones,nota 831
26/12/2020,desc 832,USD,446,Ingreso,Verdadero,Belleza,peluquero; manicura,nota 832
07/05/2022,desc 833,ARS,985,Gasto,Falso,Educación,universidad; postgrado,nota 833
06/02/2021,desc 834,ARS,314,Gasto,,Vehículo,mecanico,nota 834
18/05/2020,desc 835,ARS,85,Gasto,Verdadero,Transporte,sube,nota 835
26/02/2020,desc 836,ARS,206,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 836
28/01/2022,desc 837,ARS,307,Gasto,,Recreación,,nota 837
02/10/2022,desc 838,ARS,933,Gasto,Verdadero,Deporte,,nota 838
07/12/2022,desc 839,ARS,344,Ingreso,Falso,Vivienda,reparaciones,nota 839
25/03/2020,desc 840,USD,330,Gasto,Falso,Belleza,peluquero; manicura,nota 840
26/12/2021,desc 841,ARS,501,Gasto,Verdadero,Educación,universidad; postgrado,nota 841
20/03/2020,desc 842,ARS,208,Gasto,Falso,Vehículo,mecanico,nota 842
10/05/2020,desc 843,ARS,339,Gasto,Verdadero,Transporte,sube,nota 843
22/01/2021,desc 844,ARS,740,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 844
12/03/2021,desc 845,USD,828,Gasto,Falso,Recreación,,nota 845
05/10/2022,desc 846,ARS,673,Ingreso,Verdadero,Deporte,,nota 846
15/12/2020,desc 847,ARS,624,Gasto,,Vivienda,reparaciones,nota 847
25/07/2022,desc 848,ARS,722,Gasto,Falso,Belleza,peluquero; manicura,nota 848
19/03/2022,desc 849,ARS,901,Gasto,Verdadero,Educación,universidad; postgrado,nota 849
02/06/2021,desc 850,ARS,56,Gasto,Falso,Vehículo,mecanico,nota 850
27/06/2021,desc 851,ARS,269,Gasto,,Transporte,sube,nota 851
12/09/2021,desc 852,ARS,273,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 852
18/08/2020,desc 853,USD,844,Ingreso,Falso,Recreación,,nota 853
20/06/2020,desc 854,ARS,89,Gasto,,Deporte,,nota 854
04/04/2020,desc 855,ARS,573,Gasto,Verdadero,Vivienda,reparaciones,nota 855
24/10/2021,desc 856,ARS,371,Gasto,Falso,Belleza,peluquero; manicura,nota 856
09/07/2022,desc 857,ARS,583,Gasto,Falso,Educación,universidad; postgrado,nota 857
28/10/2022,desc 858,USD,808,Gasto,Verdadero,Vehículo,mecanico,nota 858
20/08/2020,desc 859,ARS,167,Gasto,Falso,Transporte,sube,nota 859
03/08/2020,desc 860,ARS,366,Ingreso,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 860
20/03/2020,desc 861,ARS,260,Gasto,,Recreación,,nota 861
08/04/2020,desc 862,ARS,806,Gasto,Verdadero,Deporte,,nota 862
08/08/2020,desc 863,ARS,995,Gasto,Verdadero,Vivienda,reparaciones,nota 863
18/03/2020,desc 864,ARS,558,Gasto,Verdadero,Belleza,peluquero; manicura,nota 864
24/05/2021,desc 865,ARS,325,Gasto,Falso,Educación,universidad; postgrado,nota 865
06/01/2020,desc 866,USD,559,Gasto,Verdadero,Vehículo,mecanico,nota 866
24/02/2021,desc 867,ARS,479,Ingreso,Falso,Transporte,sube,nota 867
27/07/2021,desc 868,ARS,694,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 868
11/09/2020,desc 869,ARS,296,Gasto,Verdadero,Recreación,,nota 869
09/03/2022,desc 870,ARS,850,Gasto,Falso,Deporte,,nota 870
23/11/2020,desc 871,USD,597,Gasto,,Vivienda,reparaciones,nota 871
02/04/2021,desc 872,ARS,542,Gasto,Verdadero,Belleza,peluquero; manicura,nota 872
19/09/2021,desc 873,ARS,765,Gasto,Falso,Educación,universidad; postgrado,nota 873
07/04/2021,desc 874,ARS,549,Ingreso,Falso,Vehículo,mecanico,nota 874
25/05/2021,desc 875,ARS,536,Gasto,Verdadero,Transporte,sube,nota 875
26/02/2022,desc 876,ARS,931,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 876
09/12/2021,desc 877,ARS,773,Gasto,Verdadero,Recreación,,nota 877
04/02/2022,desc 878,ARS,456,Gasto,,Deporte,,nota 878
11/06/2020,desc 879,USD,23,Gasto,Falso,Vivienda,reparaciones,nota 879
09/09/2022,desc 880,ARS,645,Gasto,Verdadero,Belleza,peluquero; manicura,nota 880
25/01/2021,desc 881,ARS,299,Ingreso,,Educación,universidad; postgrado,nota 881
02/09/2021,desc 882,ARS,707,Gasto,Falso,Vehículo,mecanico,nota 882
09/09/2022,desc 883,ARS,460,Gasto,Verdadero,Transporte,sube,nota 883
17/09/2021,desc 884,USD,338,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 884
27/06/2021,desc 885,ARS,219,Gasto,,Recreación,,nota 885
05/11/2022,desc 886,ARS,288,Gasto,Verdadero,Deporte,,nota 886
05/01/2020,desc 887,ARS,488,Gasto,Falso,Vivienda,reparaciones,nota 887
18/03/2020,desc 888,ARS,197,Ingreso,,Belleza,peluquero; manicura,nota 888
11/12/2022,desc 889,ARS,778,Gasto,Verdadero,Educación,universidad; postgrado,nota 889
16/01/2022,desc 890,ARS,516,Gasto,Falso,Vehículo,mecanico,nota 890
08/05/2021,desc 891,ARS,675,Gasto,Falso,Transporte,sube,nota 891
19/05/2020,desc 892,USD,431,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 892
12/12/2022,desc 893,ARS,304,Gasto,Falso,Recreación,,nota 893
16/01/2020,desc 894,ARS,970,Gasto,Verdadero,Deporte,,nota 894
25/03/2021,desc 895,ARS,603,Ingreso,,Vivienda,reparaciones,nota 895
14/04/2022,desc 896,ARS,805,Gasto,Verdadero,Belleza,peluquero; manicura,nota 896
26/04/2020,desc 897,USD,619,Gasto,Verdadero,Educación,universidad; postgrado,nota 897
16/06/2022,desc 898,ARS,250,Gasto,Verdadero,Vehículo,mecanico,nota 898
11/05/2020,desc 899,ARS,745,Gasto,Falso,Transporte,sube,nota 899
12/01/2021,desc 900,ARS,292,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 900
20/10/2021,desc 901,ARS,361,Gasto,Falso,Recreación,,nota 901
03/05/2020,desc 902,ARS,92,Ingreso,,Deporte,,nota 902
02/05/2022,desc 903,ARS,191,Gasto,Verdadero,Vivienda,reparaciones,nota 903
18/03/2022,desc 904,ARS,686,Gasto,Falso,Belleza,peluquero; manicura,nota 904
01/02/2020,desc 905,USD,229,Gasto,,Educación,universidad; postgrado,nota 905
04/04/2022,desc 906,ARS,855,Gasto,Verdadero,Vehículo,mecanico,nota 906
09/09/2022,desc 907,ARS,436,Gasto,Falso,Transporte,sube,nota 907
22/03/2022,desc 908,ARS,404,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 908
26/03/2020,desc 909,ARS,982,Ingreso,Verdadero,Recreación,,nota 909
07/12/2020,desc 910,USD,100,Gasto,Falso,Deporte,,nota 910
08/06/2020,desc 911,ARS,168,Gasto,Verdadero,Vivienda,reparaciones,nota 911
06/11/2020,desc 912,ARS,20,Gasto,,Belleza,peluquero; manicura,nota 912
25/02/2022,desc 913,ARS,852,Gasto,Falso,Educación,universidad; postgrado,nota 913
09/05/2021,desc 914,ARS,14,Gasto,Verdadero,Vehículo,mecanico,nota 914
15/10/2022,desc 915,ARS,243,Gasto,,Transporte,sube,nota 915
22/04/2022,desc 916,ARS,80,Ingreso,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 916
27/10/2022,desc 917,ARS,966,Gasto,Verdadero,Recreación,,nota 917
13/06/2020,desc 918,USD,735,Gasto,Falso,Deporte,,nota 918
10/11/2022,desc 919,ARS,801,Gasto,,Vivienda,reparaciones,nota 919
05/03/2020,desc 920,ARS,549,Gasto,Verdadero,Belleza,peluquero; manicura,nota 920
25/08/2022,desc 921,ARS,227,Gasto,Falso,Educación,universidad; postgrado,nota 921
15/03/2022,desc 922,ARS,184,Gasto,,Vehículo,mecanico,nota 922
28/02/2020,desc 923,USD,778,Ingreso,Verdadero,Transporte,sube,nota 923
09/02/2021,desc 924,ARS,862,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 924
14/10/2021,desc 925,ARS,101,Gasto,Falso,Recreación,,nota 925
10/03/2020,desc 926,ARS,921,Gasto,Verdadero,Deporte,,nota 926
25/03/2021,desc 927,ARS,918,Gasto,Falso,Vivienda,reparaciones,nota 927
09/02/2020,desc 928,ARS,908,Gasto,Verdadero,Belleza,peluquero; manicura,nota 928
10/12/2022,desc 929,ARS,694,Gasto,,Educación,universidad; postgrado,nota 929
03/11/2020,desc 930,ARS,627,Ingreso,Verdadero,Vehículo,mecanico,nota 930
06/11/2022,desc 931,USD,744,Gasto,Verdadero,Transporte,sube,nota 931
11/04/2021,desc 932,ARS,451,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 932
23/03/2021,desc 933,ARS,549,Gasto,Falso,Recreación,,nota 933
06/12/2021,desc 934,ARS,275,Gasto,Verdadero,Deporte,,nota 934
01/05/2021,desc 935,ARS,869,Gasto,Falso,Vivienda,reparaciones,nota 935
22/04/2022,desc 936,USD,391,Gasto,,Belleza,peluquero; manicura,nota 936
16/09/2022,desc 937,ARS,603,Ingreso,Verdadero,Educación,universidad; postgrado,nota 937
27/10/2021,desc 938,ARS,748,Gasto,Falso,Vehículo,mecanico,nota 938
03/11/2021,desc 939,ARS,416,Gasto,,Transporte,sube,nota 939
01/12/2022,desc 940,ARS,56,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 940
20/12/2022,desc 941,ARS,827,Gasto,Falso,Recreación,,nota 941
26/05/2022,desc 942,ARS,637,Gasto,Falso,Deporte,,nota 942
21/01/2022,desc 943,ARS,331,Gasto,Verdadero,Vivienda,reparaciones,nota 943
07/04/2020,desc 944,USD,137,Ingreso,Falso,Belleza,peluquero; manicura,nota 944
06/04/2022,desc 945,ARS,182,Gasto,Verdadero,Educación,universidad; postgrado,nota 945
